,name,designation,latitude,longitude,values,date
166,Alte Saline in Bad Reichenhall,,47.721132298629975,12.877299499651134,0.0,0
167,Burg Meersburg,,47.69398202244457,9.27112561616407,0.0,20241007
168,Schloss Linderhof,,47.57170970853581,10.960814334333804,0.0,0
169,Kehlsteinhaus,,47.61147965810664,13.04208626201195,0.0,0
170,Schloss Neuschwanstein,,47.5577939150726,10.74983063341851,0.0,0
171,Königsee,,47.558376566948205,12.98105525170786,0.0,0
172,Zugspitze,,47.423450852122464,10.985000426220333,0.0,0
173,Schwerin,MV,53.636063501943184,11.399830219588363,0.0,20220223
174,Hamburg,HH,53.54938446862353,9.987264338776063,0.0,20210901
175,Bremen,HB,53.08005976127227,8.798271306152047,0.0,20230624
176,Hanover,NI,52.375167801792266,9.725507504238154,0.0,20220423
177,Köln,NW,50.93864916211523,6.958612944378349,0.0,20211113
178,Saarbrücken,,49.23830051866086,6.997446718231451,0.0,20231009
179,Frankfurt,,50.112064984804036,8.683422282621542,0.0,0
180,Mainz,,49.993016801594145,8.247380738005319,0.0,0
181,Stuttgart,,48.775325573725944,9.183221197541116,0.0,20241008
182,München,,48.13499404199636,11.581672116163844,0.0,20230810
183,Nürnberg,,49.45432386186673,11.073702372439842,0.0,20230812
184,Erfurt,TH,50.984810185722736,11.02997157301701,0.0,20230728
185,Leipzig,,51.34008115703223,12.371732778145786,0.0,20210919
186,Dresden,,51.04998883333465,13.736974707814213,0.0,20210918
187,Magdeburg,,52.11237684159779,11.606903290185388,0.0,20230904
188,Berlin,BE,52.51929819490028,13.405058359701819,0.0,20210925
189,Kiel,SH,54.323021276662544,10.122796585862316,0.0,20220508
190,Sylt,SH,54.91645742061738,8.321670855436556,0.0,0
191,Schloss Burg,NW,51.157434895298564,7.151840924168923,0.0,0
192,Port-Kanzel,NW,52.24379157998538,8.92417180841311,0.0,0
193,Reckenhöhle,NW,51.36890776415441,7.862069767003822,0.0,0
194,Balver Höhle,NW,51.3386954557792,7.871665335471268,0.0,0
195,Brandenburger Tor,BE,52.51631274381771,13.37770194600639,0.0,0
196,Drachenschlucht,TH,50.9541570677614,10.307815336340006,0.0,0
