submap,latitude,longitude,date,name
RP,50.44135750140028,7.402794599353007,20250530,Andernach Geyser
HE,50.39875466106066,8.079447387180725,20250601,Limberg an der Lahn
RP,50.36365103946842,7.6131567000445,20250530,Festung Ehrenbreitstein
RP,50.30366138462781,7.592113014308622,20250530,Schloss Stolzenfels
HE,50.27195054283466,8.566571359773265,,Römerkastell Saalburg
BY,50.25822844499751,10.967181414792284,20230814,Schloss Ehrenburg
RP,50.20553711483669,7.336536542793312,20231007,Burg Eltz
RP,50.15231134901581,7.72398734779973,20250530,Burg Katz
RP,50.14240004074348,7.167016880720029,20231006,Reichsburg Cochem
HE,50.11206498480404,8.683422282621542,20231006,Frankfurt
RP,50.10525806469239,7.114883634679346,20231006,Moselschleife
HE,50.04420804773813,8.04606906172646,20250529,Kloster Eberbach
RP,49.99301680159415,8.247380738005319,,Mainz
HE,49.98128729092111,7.899869803764777,20250529,Niederwalddenkmal
BY,49.97654388550758,9.141493905171084,,Schloss Johannisburg
RP,49.95141766322995,7.116836172312512,20231007,Traben-Trarbach
BY,49.94965331775624,11.624898143420832,20230817,Altes Schloss Eremitage
BY,49.899897625630885,10.90020478584281,20230814,Bamberg
RP,49.855266137078,7.571088993487281,20231011,Schinderhanneshöhle
HE,49.79375534811216,8.66807700508995,,Burg Frankenstein
BY,49.79313011664557,9.939131470588253,20230816,Würzburger Residenz
RP,49.75988933812701,6.644222082500587,20231006,Porta Nigra
BW,49.759218858216514,9.519591951762235,,Burg Wertheim
RP,49.75148073176789,6.636154804117679,20231006,Trier
HE,49.709050487238095,8.632012005321755,,Scloss Auerbach
HE,49.6539514943417,8.569671531852826,,Kloster Lorsch
RP,49.55646358113249,7.356548773111394,,Burg Lichtenburg
SL,49.50427573868378,6.534484467527951,20231010,Saarschleife
SL,49.49622810395126,6.557356444638645,20231010,Burg Montclair
BY,49.45432386186673,11.073702372439842,20230812,Nürnberg
BY,49.4410521708832,11.863005583075532,20230817,Amberg
BW,49.4171154543863,8.713979992773247,20220725,Schloss Heidelberg
BW,49.38442668274046,8.570529846967071,20220725,Schloss Schwetzingen
BY,49.3804907319762,10.183626292953273,,Rothenburg ob der Tauber
RP,49.32527367950907,8.118011238334773,,Hambacher Schloss
SL,49.32083413879066,7.343338287486094,20231009,Schlossberghöhlen
RP,49.31760316165258,8.442316741289234,,Speyerer Dom
SL,49.23830051866086,6.997446718231451,20231009,Saarbrücken
RP,49.19682982369771,7.978429042508556,,Reichsburg Trifels
RP,49.10862182041791,7.862755601097686,,Burg Berwartstein
BY,49.03514038869194,10.967997604628842,20230815,Weißenburg
BY,49.014015275813605,12.100731089404505,20230817,Regensburg
BW,49.00128407925189,8.812073492820568,,Kloster Maulbronn
BY,48.9506227418586,11.739736884549115,,Burg Prunn
BW,48.89951209278837,9.195990491687764,20241008,Residenzschloss Ludwigsburg
BY,48.899490815862,11.820029260704636,,Kloster Weltenburg
BW,48.85840169040843,8.208265827772074,20241004,Rastatt
BW,48.77532557372594,9.183221197541116,20241008,Stuttgart
BW,48.763676972080205,8.22693167924931,20241005,Baden-Baden
BY,48.73068171271573,11.188808244987028,20230812,Neuburg an der Donau
BY,48.56301740538593,13.426540076058192,,Passau
BY,48.543821236775095,12.146514398423395,,Landshut
BW,48.4067235933747,9.257994663104895,,Schloss Lichtenstein
BW,48.39927237879504,9.98652102153616,,Ulm
BY,48.3686707226348,10.897588150265582,20230812,Augsburg
BW,48.3238762836519,8.967236353845957,,Burg Hohenzollern
BY,48.26724924609495,11.4664324596458,20230811,Dachau Konzentrationslager
BY,48.17236410102756,12.830386734372215,,Burghausen
BY,48.13499404199636,11.581672116163844,20230810,München
BW,48.13024030178374,8.23242327426382,20220720,Triberg im Schwarzwald
BW,48.08817674519821,9.216523543196743,20241007,Schloss Sigmaringen
BW,47.99592608547485,7.852748923349447,20220719,Freiburger Münster
BW,47.86630402241509,9.994415300555588,,Schloss Zeil
BY,47.860952245051074,12.402712754100424,,Schloss Herrenchiemsee
BY,47.721132298629975,12.877299499651134,,Alte Saline in Bad Reichenhall
BW,47.69398202244457,9.27112561616407,20241007,Burg Meersburg
BY,47.61147965810664,13.04208626201195,,Kehlsteinhaus
BY,47.57170970853581,10.960814334333804,,Schloss Linderhof
BY,47.558376566948205,12.98105525170786,,Königsee
BY,47.5577939150726,10.74983063341851,,Schloss Neuschwanstein
BY,47.556096698676754,10.736340092529572,,Schloss Hohenschwangau
BY,47.46489111149826,11.121848279368011,,Partnach Gorge
BY,47.423450852122464,10.985000426220331,,Zugspitze
