submap,latitude,longitude,date,name
TH,50.804317832828160,11.611766630668964,20250420,Leuchtenburg
NW,50.775822525240640,06.083624260019149,20250531,Aachen
SN,50.769087728288575,12.888659572638224,,Wasserschloss Klaffenbach
HE,50.756732944595400,08.881478246390817,,Schloss Rauischholzhausen
NW,50.738094461570384,07.092527278802910,20211114,Bonn
TH,50.723152616887130,11.337644277092808,20250420,Schloss Heidecksburg
NW,50.668924273614090,07.206321295888419,20211114,Schloss Drachenburg
NW,50.582468120462340,06.423318636429082,20250531,Nationalpark Eifel
HE,50.554098690690005,09.675823689679500,20250323,Fuldaer Stadtschloss
NW,50.552907327501280,06.238849629750997,20250531,Monschau
HE,50.513844943291400,08.387492400308265,20250601,Schloss Braunfels
HE,50.485862769734680,08.261314631135706,20250601,Schloss Weilburg
HE,50.468565707314845,08.302238500226913,20250601,Kristallhöhle
RP,50.441357501400280,07.402794599353007,20250530,Andernach Geyser
HE,50.398754661060660,08.079447387180725,20250601,Limberg an der Lahn
RP,50.363651039468420,07.613156700044500,20250530,Festung Ehrenbreitstein
RP,50.303661384627810,07.592113014308622,20250530,Schloss Stolzenfels
HE,50.271950542834660,08.566571359773265,,Römerkastell Saalburg
BY,50.258228444997510,10.967181414792284,20230814,Schloss Ehrenburg
RP,50.205537114836690,07.336536542793312,20231007,Burg Eltz
RP,50.152311349015810,07.723987347799730,20250530,Burg Katz
RP,50.142400040743480,07.167016880720029,20231006,Reichsburg Cochem
HE,50.112064984804040,08.683422282621542,20231006,Frankfurt
RP,50.105258064692390,07.114883634679346,20231006,Moselschleife
HE,50.044208047738130,08.046069061726460,20250529,Kloster Eberbach
RP,49.993016801594150,08.247380738005319,,Mainz
HE,49.981287290921110,07.899869803764777,20250529,Niederwalddenkmal
BY,49.976543885507580,09.141493905171084,,Schloss Johannisburg
RP,49.951417663229950,07.116836172312512,20231007,Traben-Trarbach
BY,49.949653317756240,11.624898143420832,20230817,Altes Schloss Eremitage
BY,49.899897625630885,10.900204785842810,20230814,Bamberg
RP,49.855266137078000,07.571088993487281,20231011,Schinderhanneshöhle
HE,49.793755348112160,08.668077005089950,,Burg Frankenstein
BY,49.793130116645570,09.939131470588253,20230816,Würzburger Residenz
RP,49.759889338127010,06.644222082500587,20231006,Porta Nigra
BW,49.759218858216514,09.519591951762235,,Burg Wertheim
RP,49.751480731767890,06.636154804117679,20231006,Trier
HE,49.709050487238095,08.632012005321755,,Scloss Auerbach
HE,49.653951494341700,08.569671531852826,,Kloster Lorsch
RP,49.556463581132490,07.356548773111394,,Burg Lichtenburg
SL,49.504275738683780,06.534484467527951,20231010,Saarschleife
SL,49.496228103951260,06.557356444638645,20231010,Burg Montclair
BY,49.454323861866730,11.073702372439842,20230812,Nürnberg
BY,49.441052170883200,11.863005583075532,20230817,Amberg
BW,49.417115454386300,08.713979992773247,20220725,Schloss Heidelberg
BW,49.384426682740460,08.570529846967071,20220725,Schloss Schwetzingen
BY,49.380490731976200,10.183626292953273,20250928,Rothenburg ob der Tauber
RP,49.325273679509070,08.118011238334773,,Hambacher Schloss
SL,49.320834138790660,07.343338287486094,20231009,Schlossberghöhlen
RP,49.317603161652580,08.442316741289234,20251007,Speyerer Dom
BW,49.239071935903690,8.8971417517502440,20251007,Technik Museum Sinsheim
SL,49.238300518660860,06.997446718231451,20231009,Saarbrücken
RP,49.196829823697710,07.978429042508556,,Reichsburg Trifels
RP,49.108621820417910,07.862755601097686,,Burg Berwartstein
BY,49.035140388691940,10.967997604628842,20230815,Weißenburg
BY,49.014015275813605,12.100731089404505,20230817,Regensburg
BW,49.001284079251890,08.812073492820568,20251006,Kloster Maulbronn
BY,48.950622741858600,11.739736884549115,,Burg Prunn
BW,48.899512092788370,09.195990491687764,20241008,Residenzschloss Ludwigsburg
BY,48.899490815862000,11.820029260704636,,Kloster Weltenburg
BW,48.858401690408430,08.208265827772074,20241004,Rastatt
BW,48.775325573725940,09.183221197541116,20241008,Stuttgart
BW,48.763676972080205,08.226931679249310,20241005,Baden-Baden
BY,48.730681712715730,11.188808244987028,20230812,Neuburg an der Donau
BY,48.563017405385930,13.426540076058192,,Passau
BY,48.543821236775095,12.146514398423395,,Landshut
BW,48.406723593374700,09.257994663104895,20251004,Schloss Lichtenstein
BW,48.399272378795040,09.986521021536160,20250928,Ulm
BY,48.368670722634800,10.897588150265582,20230812,Augsburg
BW,48.323876283651900,08.967236353845957,20251004,Burg Hohenzollern
BY,48.267249246094950,11.466432459645800,20230811,Dachau Konzentrationslager
BY,48.172364101027560,12.830386734372215,,Burghausen
BY,48.134994041996360,11.581672116163844,20230810,München
BW,48.130240301783740,08.232423274263820,20220720,Triberg im Schwarzwald
BW,48.088176745198210,09.216523543196743,20241007,Schloss Sigmaringen
BW,47.995926085474850,07.852748923349447,20220719,Freiburger Münster
BW,47.866304022415090,09.994415300555588,20250928,Schloss Zeil
BY,47.860952245051074,12.402712754100424,,Schloss Herrenchiemsee
BY,47.721132298629975,12.877299499651134,,Alte Saline in Bad Reichenhall
BW,47.693982022444570,09.271125616164070,20241007,Burg Meersburg
BY,47.611479658106640,13.042086262011950,,Kehlsteinhaus
BY,47.571709708535810,10.960814334333804,20250927,Schloss Linderhof
BY,47.553560522433465,9.6926237226296590,20250925,Lindau
BY,47.558376566948205,12.981055251707860,,Königsee
BY,47.557793915072600,10.749830633418510,20250927,Schloss Neuschwanstein
BY,47.556096698676754,10.736340092529572,20250927,Schloss Hohenschwangau
BY,47.464891111498260,11.121848279368011,20250926,Partnach Gorge
BY,47.423450852122464,10.985000426220331,20250926,Zugspitze
