submap,latitude,longitude,label_latitude,label_longitude,date,name
PL,50.061966,19.9367140,50.061966,19.9367140,20230722,Rynek Główny
PL,50.029534,19.2055080,50.029534,19.2055080,20230722,Memorial Auschwitz-Birkenau
UA,50.008495,36.3039970,50.008495,36.3039970,,Kharkiv
UA,49.839830,24.0297770,49.839830,24.0297770,,Lviv
LU,49.821425,6.34925900,50.762250,5.41248500,,Berdorf
LU,49.811369,6.41760800,50.752194,5.48083400,,Echternach
DE,49.749688,6.63875000,49.749688,6.63875000,20231006,Trier
CZ,49.740548,13.3733594,49.740548,13.3733594,,Plzeň
FR,49.707179,0.19369300,49.707179,0.19369300,,Falaise d'Aval
LU,49.612263,6.12577700,49.612263,6.12577700,,Luxembourg
SK,49.299630,21.2747270,49.299630,21.2747270,,Bardejov
CZ,49.196883,16.6069050,49.196883,16.6069050,,Brno
SK,49.184962,20.1739400,50.125787,21.1107140,20230720,High Tatras
SK,49.144144,20.2198450,50.084969,21.1566190,,Wooden Churches
SK,49.039996,19.2786920,49.039996,19.2786920,,Vlkolínec
SK,49.024962,20.5836080,49.024962,20.5836080,,Levoča
FR,48.873784,2.29502600,48.873784,2.29502600,,Arc de Triomphe
FR,48.867356,2.78368000,48.867356,2.78368000,,Disneyland Paris
FR,48.860601,2.33763700,48.860601,2.33763700,,Louvre Museum
FR,48.858355,2.29445700,48.858355,2.29445700,,Eiffel Tower
FR,48.857538,2.35137100,48.857538,2.35137100,,Paris
FR,48.846589,2.33627600,48.846589,2.33627600,,Jardin du Luxembourg
CZ,48.813009,14.3173130,48.813009,14.3173130,,Český Krumlov
CZ,48.809111,16.8109350,48.809111,16.8109350,,Lednice–Valtice Landscape
FR,48.804862,2.12035800,48.804862,2.12035800,,Palace of Versailles
UA,48.698842,26.5812450,48.698842,26.5812450,,Kam'yanets'-Podil's'kyi
FR,48.636030,-1.5114860,48.636030,-1.5114860,,Le Mont-Saint-Michel
SK,48.457634,21.6800840,48.457634,21.6800840,,Slovakian Wine
SK,48.451207,18.9059720,48.451207,18.9059720,,Banská Štiavnica
UA,48.449530,22.7117560,48.449530,22.7117560,,Mukachevo
AT,48.388768,15.4747230,48.388768,15.4747230,,Wachau
DE,48.323876,8.96723600,48.323876,8.96723600,20251004,Burg Hohenzollern
DE,48.281634,8.18451300,48.281634,8.18451300,20220720,Black Forest
AT,48.207982,16.3713200,49.148807,17.3080940,20230715,Vienna
MD,48.203285,27.6711350,48.203285,27.6711350,,Țaul Park
AT,48.203163,16.3692170,49.143988,15.6027650,20230715,Vienna Operahouse
MD,48.155383,28.2868680,48.155383,28.2868680,,Soroca
DE,48.134819,11.5817810,48.134819,11.5817810,20230811,Munich
FR,48.077254,7.35680900,48.077254,7.35680900,20220723,Collegiale Saint-Martin
HU,47.902697,0.37722000,47.902697,0.37722000,,Eger
FR,47.801302,6.93174400,47.801302,6.93174400,,Doleran
RO,47.642848,26.2623170,47.642848,26.2623170,,Saint John the New Monastery
AT,47.562184,13.6485790,47.562184,13.6485790,,Hallstatt
DE,47.558114,10.7496600,47.558114,10.7496600,20250927,Neuschwanstein Castle
FR,47.548276,1.00445400,47.548276,1.00445400,,Loire Valley
HU,47.523603,21.0911830,47.523603,21.0911830,,Hortobágyi National Park
HU,47.518692,19.0823680,48.439148,19.9777400,20230717,Széchenyi Thermal Bath
AT,47.503744,13.1840620,47.503744,13.1840620,,Eisreisenwelt
HU,47.498996,19.0436980,48.459517,18.3159160,20230717,Széchenyi Chain Bridge
HU,47.498323,19.0409660,48.439821,18.2772460,20230717,Budapest
CH,47.376591,8.54179500,47.376591,8.54179500,20250705,Zürich
