number,name,submap,latitude,longitude,values,date
139,Fort Larned NHS,KS,38.18308288393273,-99.22114560520824,0.0,0
140,Fort Matanzas NM,FL,29.716302643676983,-81.23862860756007,0.0,20190526
141,Fort McHenry NM,MD,39.26457875530224,-76.58059831080388,0.0,20160327
142,Fort Monroe NM,VA,37.00460661631604,-76.30726453741133,0.0,20160325
143,Fort Necessity NB,PA,39.816216136405,-79.5894553453225,0.0,20160618
144,Fort Point NHS,CA,37.81122890245474,-122.47692668756206,0.0,20150517
145,Fort Pulaski NM,GA,32.027863660360694,-80.89063702285925,0.0,20190527
146,Fort Raleigh NHS,NC,35.93601269242656,-75.70873353513643,0.0,20151024
147,Fort Scott NHS,KS,37.84416586833918,-94.70439398735596,0.0,20171126
148,Fort Smith NHS,AR,35.388314421692606,-94.42991962999923,0.0,20171127
149,Fort Stanwix NM,NY,43.21126520783368,-75.45548804019012,0.0,20160920
150,Fort Sumter and Fort Moultrie NHP,SC,32.75981148377225,-79.8578752449654,0.0,20160501
151,Fort Union NM,NM,35.905864213775935,-105.01158073363452,0.0,20181016
152,Fort Union Trading Post NHS,MT,47.9997424311338,-104.04079262539726,0.0,0
153,Fort Vancouver NHS,WA,45.62740301316505,-122.65635633672818,0.0,20210717
154,Fort Washington Park,MD,38.7120110173,-77.02874790345528,0.0,20151010
155,Fossil Butte NM,WY,41.85703888353293,-110.76242051518524,0.0,20150525
156,Franklin Delano Roosevelt Memorial,DC,38.883992910218346,-77.04284097136262,0.0,20151226
157,Frederick Douglass NHS,DC,38.86363515883303,-76.98524052293541,0.0,20151229
158,Frederick Law Olmsted NHS,MA,42.325812121566464,-71.13223594553051,0.0,20150610
159,Fredericksburg and Spotsylvania NMP,VA,38.29398834669843,-77.46742910725627,0.0,20151009
160,Freedom Riders NM,AL,33.6584228571367,-85.83112868981452,0.0,20171124
161,Friendship Hill NHS,PA,39.77648212845025,-79.93159278384081,0.0,20160618
162,Gates of the Arctic NP&NPres,AK,67.77682891323641,-153.3464765936084,0.0,0
163,Gateway Arch NP,UT,38.625504043574765,-90.18608880999714,0.0,0
164,Gateway NRA,NY,40.44020633729475,-73.98849020082417,0.0,20180722
