name,submap,latitude,longitude,values,date
New Bedford Whaling NHP,MA,41.63595182335167,-70.92393064531525,0.0,20160928
Upper Delaware SRR,PA,41.62699532904799,-75.0500431128111,0.0,20160918
Golden Spike NHP,UT,41.61735179234952,-112.55072115746806,0.0,0
Redwood NP,CA,41.53380287131973,-124.04382291529014,0.0,20190630
David Berger NM,OH,41.474713697182445,-81.49165244947447,0.0,20170414
Steamtown NHS,PA,41.40820984398974,-75.67200773386851,0.0,20160918
Cuyahoga Valley NP,OH,41.32202958859705,-81.57284940074878,0.0,20160612
New England NST,MA,41.27237433486885,-72.67002499820923,0.0,20160929
Lewis and Clark NHT,NE,41.26547805473562,-95.924576048863,0.0,20181009
Weir Farm NHP,CT,41.25777423800236,-73.45599708943593,0.0,0
Middle Delaware NSR,PA,41.13022106048631,-74.94270172710654,0.0,20160918
Delaware Water Gap NRA,NJ,41.10479449362536,-74.94438962524588,0.0,20160918
Hudson River Valley NHA,NY,41.088507274386565,-73.96824805843465,0.0,20160920
Paterson Great Falls NHP,NJ,40.91569956652449,-74.17965208181592,0.0,20160917
Saint Paul's Church NHS,NY,40.89438746338239,-73.82627094885707,0.0,20180720
Sagamore Hill NHS,NY,40.8858320639474,-73.50095453451405,0.0,0
Hamilton Grange NMem,NY,40.82210136055205,-73.94725581167171,0.0,20180720
General Grant NMem,NY,40.81386256897201,-73.96329735465561,0.0,20180721
First Ladies NHS,OH,40.798255102589785,-81.37518424705577,0.0,20170414
Morristown NHP,NJ,40.797110680527766,-74.46596258217562,0.0,20160917
Thomas Edison NHP,NJ,40.784456496080495,-74.23437371853547,0.0,20160917
Theodore Roosevelt Birthplace NHS,NY,40.73902066372994,-73.98906550893453,0.0,20180722
Stonewall NM,NY,40.73487114136966,-74.00218348082537,0.0,20180722
African Burial Ground NM,NY,40.71513334051866,-74.0045030424539,0.0,20180722
Federal Hall NMem,NY,40.70758098253528,-74.01020405772513,0.0,20180722
Castle Clinton NM,NY,40.70415413355017,-74.01667429257022,0.0,20180722
Governors Island NM,NY,40.69040625115305,-74.01745349130702,0.0,20180722
Statue of Liberty NM,NY,40.689716984895945,-74.04462269160412,0.0,20180722
Fire Island NS,NY,40.64440986270991,-73.16400142353062,0.0,0
Whiskeytown-Shasta-Trinity NRA,WA,40.61378394081933,-122.60099281457956,0.0,20190705
Lassen Volcanic NP,CA,40.565134616946814,-121.42075982927662,0.0,20190704
Dinosaur NM,CO,40.51326467662732,-108.9487895812977,0.0,0
Allegheny Portage Railroad NHS,PA,40.460045088781776,-78.54960807687625,0.0,20160619
Timpanagos Cave NM,UT,40.44454739852495,-111.70532914676738,0.0,20150526
Gateway NRA,NY,40.44020633729475,-73.98849020082417,0.0,20180722
Rocky Mountain NP,CO,40.40869375521765,-105.6908692694385,0.0,20181011
Johnstown Flood NMem,PA,40.3504570498491,-78.77160555268227,0.0,20160619
Homestead NHP,NE,40.28697334051471,-96.8327362335534,0.0,0
Crossroads of the American Revolution NHA,NJ,40.22170812638051,-74.76932143722557,0.0,20160917
Valley Forge NHP,PA,40.10038812373427,-75.4460658106148,0.0,20160326
Flight 93 NMem,PA,40.0594927756849,-78.89486017528708,0.0,20160619
Edgar Allen Poe NHS,PA,39.96205634043528,-75.14992085866068,0.0,20160716
Benjamin Franklin NMem,PA,39.95925148573474,-75.17247663643673,0.0,20160716
Independence NHP,PA,39.95041603877493,-75.14981972286768,0.0,20160716
Hopewell Fernace NHS,PA,39.9500689,-75.1497751,0.0,20160326
Thaddeus Kosciuszko NMem,PA,39.94391776366156,-75.14745768087887,0.0,20160716
Fort Necessity NB,PA,39.816216136405,-79.5894553453225,0.0,20160618
Gettysburg NMP,PA,39.806177694138775,-77.24215874429233,0.0,20160529
Springfield 1908 Race Riot NM,IL,39.80469445737653,-89.64178648952462,0.0,0
Lincoln Home NHS,IL,39.79736602623226,-89.64489943323709,0.0,0
Eisenhower NHS,PA,39.795577098908566,-77.26352347854933,0.0,20160529
Friendship Hill NHS,PA,39.77648212845025,-79.93159278384081,0.0,20160618
Dayton Aviation Heritage NHP,OH,39.75598001322475,-84.21175614286209,0.0,20181005
Charles Young Buffalo Soldiers NM,OH,39.70825466825573,-83.89063834032443,0.0,20181006
New Philadelphia NHS,IL,39.69810837801518,-90.96171894114876,0.0,0
First State NHP,DE,39.660401672174494,-75.56358067307171,0.0,20160717
Catoctin Mountain Park,MD,39.64059008388623,-77.4413362189572,0.0,20160528
Chesapeake and Ohio Canal NHP,DC,39.50092950506559,-77.84491835375542,0.0,20160530
Antietam NB,MD,39.46766937903727,-77.736385728196,0.0,20160530
Hampton NHS,MD,39.41697560479516,-76.58767335148984,0.0,20160327
Nicodemus NHS,KS,39.3934436685301,-99.61468389710816,0.0,0
Monocacy NB,MD,39.37812709886845,-77.39706560181676,0.0,20160528
Hopewell Culture NHP,OH,39.37618765242406,-83.00648435929487,0.0,20181005
Harpers Ferry NHP,WV,39.31817805934144,-77.75811552151214,0.0,20160530
Great Egg Harbor SRR,NJ,39.307595839348,-74.65032631400062,0.0,20160717
Star Spangled Banner NST,MD,39.26628606208791,-76.57853102243804,0.0,20151010
Fort McHenry NM,MD,39.26457875530224,-76.58059831080388,0.0,20160327
William Howard Taft NHS,OH,39.11978221613583,-84.50830191830231,0.0,20181006
Harry S Truman NHS,MS,39.09393626572962,-94.42354109483168,0.0,0
Potomac Heritage NST,VA,39.05222156397165,-77.33419802168181,0.0,20151010
Colorado NM,CO,39.05092961607754,-108.69219470896256,0.0,0
Brown v Board of Education NHP,KS,39.03942159628702,-95.67632942616932,0.0,0
Shenandoah Battlefields NHP,VA,39.02440273417588,-78.3052902906048,0.0,20160530
Cedar Creek and Belle Grove NHP,VA,39.01151567945355,-78.30409231361752,0.0,20160530
Greenbelt Park,DC,38.98406730869318,-76.89728799793228,0.0,20151228
Rock Creek Park,DC,38.9678739294092,-77.04520712383106,0.0,20160326
Clara Barton NHS,MD,38.96763237522109,-77.1409490820061,0.0,20151228
Great Basin NP,NV,38.94668392274632,-114.25657156761416,0.0,0
Wolf Trap Performing Arts Park,VA,38.93917027120216,-77.26607108516673,0.0,20151229
Appalachian NST,VA,38.91819588707799,-78.04962008604608,0.0,20160530
Florissant Fossil Beds NM,CO,38.91431659580663,-105.28548855679485,0.0,20181015
Carter G Woodson NHS,DC,38.91125417834611,-77.02423756614559,0.0,20151226
Mary McLeod Bethune Council House NHS,DC,38.90856763949765,-77.03061904499701,0.0,20151226
Arches NP,UT,38.90123647498111,-109.59951465362391,0.0,20150526
Pennsylvania Avenue NHS,DC,38.89921085672846,-77.03498147274031,0.0,20151226
The White House - President's Park,DC,38.897954576743615,-77.03665460800121,0.0,20151226
Peterson House NHS,DC,38.89719763807421,-77.02657323426008,0.0,20151226
World War 1 Mem,DC,38.89687390768802,-77.03292131186517,0.0,20151226
