submap,latitude,longitude,date,name,geometry
NE,42.4254659,-103.734226,2018-10-10,Agate Fossil Beds NM,POINT (-103.734226 42.4254659)
MA,42.3774953898866,-71.12632055662039,2015-06-11,Longfellow House NHS,POINT (-71.12632055662039 42.3774953898866)
MA,42.37340611627443,-71.05651151217522,2015-06-10,Boston NHP,POINT (-71.05651151217522 42.37340611627443)
NY,42.370142722085674,-73.70416130944446,2016-09-20,Martin Van Buren NHS,POINT (-73.70416130944446 42.370142722085674)
NY,42.36094758087968,-71.06507208918194,2015-06-08,Boston African American NHS,POINT (-71.06507208918194 42.36094758087968)
MA,42.34742696176482,-71.12330395369952,2015-06-10,John F Kennedy NHS,POINT (-71.12330395369952 42.34742696176482)
WY,42.33817781830123,-110.67403112130454,2015-05-25,California NHT,POINT (-110.67403112130454 42.33817781830123)
MA,42.325812121566464,-71.13223594553051,2015-06-10,Frederick Law Olmsted NHS,POINT (-71.13223594553051 42.325812121566464)
MA,42.31283086439302,-70.94930017483412,2015-06-13,Boston Harbor Islands NRA,POINT (-70.94930017483412 42.31283086439302)
MA,42.25654473,-71.01182318,2015-06-12,Adams NHP,POINT (-71.01182318 42.25654473)
WY,42.204269459447886,-104.55609236254432,2018-10-11,Fort Laramie NHS,POINT (-104.55609236254432 42.204269459447886)
MA,42.107681631969946,-72.58146839659979,2016-09-29,Springfield Armory NHS,POINT (-72.58146839659979 42.107681631969946)
OR,42.0988371981579,-123.40682911371032,2019-07-01,Oregon Caves NM,POINT (-123.40682911371032 42.0988371981579)
MA,42.095248975686815,-71.26956814381529,2015-10-10,Washington-Rochambeau Rev. Rt. NHT,POINT (-71.26956814381529 42.095248975686815)
ID,42.07306689679784,-113.70381986296807,,City of Rocks NPres,POINT (-113.70381986296807 42.07306689679784)
WY,42.06220628138199,-104.18410616352396,2018-10-11,Pony Express NHT,POINT (-104.18410616352396 42.06220628138199)
MI,41.916019951937415,-83.37988243092043,,River Raisin NBP,POINT (-83.37988243092043 41.916019951937415)
CA,41.88762026213523,-121.3771649610455,2019-07-03,Tule Lake NM,POINT (-121.3771649610455 41.88762026213523)
RI,41.87886558615023,-71.38317257880699,2016-09-28,Blackstone River Valley NHP,POINT (-71.38317257880699 41.87886558615023)
WY,41.85703888353293,-110.76242051518524,2015-05-25,Fossil Butte NM,POINT (-110.76242051518524 41.85703888353293)
NE,41.83463324578654,-103.70701227100844,2018-10-11,Scotts Bluff NM,POINT (-103.70701227100844 41.83463324578654)
RI,41.831666554625656,-71.41093694895771,2016-09-28,Roger Williams NMem,POINT (-71.41093694895771 41.831666554625656)
NY,41.79759030759542,-73.94199583979432,2016-09-19,Vanderbilt Mansion NHS,POINT (-73.94199583979432 41.79759030759542)
CA,41.77550293460772,-121.50677203928362,2019-07-03,Lava Beds NM,POINT (-121.50677203928362 41.77550293460772)
NY,41.7683600643813,-73.93530247687958,2016-09-19,Home of Franklin D. Roosevelt NHS,POINT (-73.93530247687958 41.7683600643813)
NY,41.7629317292442,-73.8995462813507,2016-09-19,Eleanor Roosevelt NHS,POINT (-73.8995462813507 41.7629317292442)
MA,41.72727705275205,-69.93024768439696,2016-09-26,Cape Cod NS,POINT (-69.93024768439696 41.72727705275205)
IL,41.694052159675294,-87.60764955412142,,Pullman NHP,POINT (-87.60764955412142 41.694052159675294)
IA,41.67013130693787,-91.34633347673726,2018-10-08,Herbert Hoover NHS,POINT (-91.34633347673726 41.67013130693787)
OH,41.665392913253584,-81.35088547785094,2017-04-14,James A Garfield NHS,POINT (-81.35088547785094 41.665392913253584)
IN,41.65828365320674,-87.05173213545861,,Indiana Dunes NP,POINT (-87.05173213545861 41.65828365320674)
MI,41.654503001513845,-82.81132598874824,,Perry's Victory and International Peace Mem,POINT (-82.81132598874824 41.654503001513845)
MA,41.635951823351675,-70.92393064531525,2016-09-28,New Bedford Whaling NHP,POINT (-70.92393064531525 41.635951823351675)
PA,41.62699532904799,-75.05004311281111,2016-09-18,Upper Delaware SRR,POINT (-75.05004311281111 41.62699532904799)
UT,41.61735179234952,-112.55072115746806,,Golden Spike NHP,POINT (-112.55072115746806 41.61735179234952)
CA,41.53380287131973,-124.04382291529014,2019-06-30,Redwood NP,POINT (-124.04382291529014 41.53380287131973)
OH,41.474713697182445,-81.49165244947446,2017-04-14,David Berger NM,POINT (-81.49165244947446 41.474713697182445)
PA,41.408209843989745,-75.67200773386851,2016-09-18,Steamtown NHS,POINT (-75.67200773386851 41.408209843989745)
OH,41.32202958859705,-81.57284940074878,2016-06-12,Cuyahoga Valley NP,POINT (-81.57284940074878 41.32202958859705)
MA,41.27237433486885,-72.67002499820923,2016-09-29,New England NST,POINT (-72.67002499820923 41.27237433486885)
NE,41.26547805473562,-95.924576048863,2018-10-09,Lewis and Clark NHT,POINT (-95.924576048863 41.26547805473562)
CT,41.25777423800236,-73.45599708943594,,Weir Farm NHP,POINT (-73.45599708943594 41.25777423800236)
PA,41.13022106048631,-74.94270172710654,2016-09-18,Middle Delaware NSR,POINT (-74.94270172710654 41.13022106048631)
NJ,41.10479449362536,-74.94438962524589,2016-09-18,Delaware Water Gap NRA,POINT (-74.94438962524589 41.10479449362536)
NY,41.088507274386565,-73.96824805843465,2016-09-20,Hudson River Valley NHA,POINT (-73.96824805843465 41.088507274386565)
NJ,40.91569956652449,-74.17965208181592,2016-09-17,Paterson Great Falls NHP,POINT (-74.17965208181592 40.91569956652449)
NY,40.894387463382394,-73.82627094885707,2018-07-20,Saint Paul's Church NHS,POINT (-73.82627094885707 40.894387463382394)
NY,40.8858320639474,-73.50095453451405,,Sagamore Hill NHS,POINT (-73.50095453451405 40.8858320639474)
NY,40.82210136055205,-73.94725581167171,2018-07-20,Hamilton Grange NMem,POINT (-73.94725581167171 40.82210136055205)
NY,40.813862568972006,-73.96329735465562,2018-07-21,General Grant NMem,POINT (-73.96329735465562 40.813862568972006)
OH,40.798255102589785,-81.37518424705577,2017-04-14,First Ladies NHS,POINT (-81.37518424705577 40.798255102589785)
NJ,40.797110680527766,-74.46596258217562,2016-09-17,Morristown NHP,POINT (-74.46596258217562 40.797110680527766)
NJ,40.784456496080495,-74.23437371853547,2016-09-17,Thomas Edison NHP,POINT (-74.23437371853547 40.784456496080495)
NY,40.73902066372994,-73.98906550893453,2018-07-22,Theodore Roosevelt Birthplace NHS,POINT (-73.98906550893453 40.73902066372994)
NY,40.734871141369666,-74.00218348082538,2018-07-22,Stonewall NM,POINT (-74.00218348082538 40.734871141369666)
NY,40.715133340518655,-74.0045030424539,2018-07-22,African Burial Ground NM,POINT (-74.0045030424539 40.715133340518655)
NY,40.70758098253528,-74.01020405772513,2018-07-22,Federal Hall NMem,POINT (-74.01020405772513 40.70758098253528)
NY,40.70415413355017,-74.01667429257023,2018-07-22,Castle Clinton NM,POINT (-74.01667429257023 40.70415413355017)
NY,40.69040625115305,-74.01745349130702,2018-07-22,Governors Island NM,POINT (-74.01745349130702 40.69040625115305)
NY,40.689716984895945,-74.04462269160413,2018-07-22,Statue of Liberty NM,POINT (-74.04462269160413 40.689716984895945)
NY,40.644409862709914,-73.16400142353062,,Fire Island NS,POINT (-73.16400142353062 40.644409862709914)
WA,40.61378394081933,-122.60099281457956,2019-07-05,Whiskeytown-Shasta-Trinity NRA,POINT (-122.60099281457956 40.61378394081933)
CA,40.565134616946814,-121.42075982927662,2019-07-04,Lassen Volcanic NP,POINT (-121.42075982927662 40.565134616946814)
CO,40.51326467662732,-108.9487895812977,,Dinosaur NM,POINT (-108.9487895812977 40.51326467662732)
PA,40.460045088781776,-78.54960807687625,2016-06-19,Allegheny Portage Railroad NHS,POINT (-78.54960807687625 40.460045088781776)
