,name,latitude,longitude,values,date
170,George Washington Mem. Pkwy,43.89544646,-110.7023483,0.0,20150525
171,Gettysburg NMP,37.78896481,-105.630268,0.0,20181016
172,Gila Cliff Dwellings NM,33.22753382486476,-108.27068659313495,0.0,0
173,Glacier Bay NP NPres,58.78610208354336,-136.96688312340547,0.0,0
174,Glacier NP,48.767670574002615,-113.79035554101056,0.0,0
175,Glen Canyon NRA,36.91997071660075,-111.4756957617485,0.0,0
176,Golden Gate NRA,35.88769423,-83.48432666,0.0,0
177,Golden Spike NHP,41.61735179234952,-112.55072115746806,0.0,0
178,Governors Island NM,35.61929423,-83.5530199,0.0,20161008
179,Grand Canyon NP,36.39111870849107,-112.37343708324757,0.0,0
180,Grand Portage NM,47.962664732287415,-89.68488297854043,0.0,0
181,Grand Teton NP,38.98353734,-76.89754223,0.0,20151228
182,Grant-Kohrs Ranch NHS,46.40646959119883,-112.73667594382268,0.0,0
183,Great Basin NP,38.94668392274632,-114.25657156761416,0.0,0
184,Great Egg Harbor Scenic and Recreational River,39.307595839348,-74.65032631400062,0.0,0
185,Great Sand Dunes NP,31.95554418,-104.8781332,0.0,20171221
186,Great Smoky Mountains NP,36.13356133,-79.84127446,0.0,20150606
187,Greenbelt Park,32.46127495,-80.66635861,0.0,20150531
188,Guadalupe Mountains NP,40.82156606,-73.94725311,0.0,20180720
189,Guilford Courthouse NMP,39.41700208,-76.58736504,0.0,20160327
190,Gulf Islands NS,39.31855875,-77.75804543,0.0,20160330
191,Gullah Geechee NHA,41.66936048,-91.34617764,0.0,20181006
192,Hagerman Fossil Beds NM,42.83214973967571,-114.89188908640446,0.0,0
193,Haleakala NP,20.728288535954057,-156.15643618107651,0.0,0
194,Hamilton Grange NMem,41.76810353,-73.93520661,0.0,20160919
195,Hampton NHS,39.37583947,-83.00641635,0.0,20181005
196,Harpers Ferry NHP,40.20652472,-75.76798633,0.0,20160326
197,Harriet Tubman NHP,42.92374113694391,-76.5760364124097,0.0,0
198,Harriet Tubman Underground Railroad NHP,38.45051450656644,-76.13770687676381,0.0,0
199,Harry S Truman NHS,39.09393626572962,-94.42354109483168,0.0,0
200,Hawaii Volcanoes NP,19.556020900995943,-155.4743123921899,0.0,0
201,Herbert Hoover NHS,32.97630379,-85.73349218,0.0,20160130
202,Hohokam Pima NM,33.189372785758074,-111.92248982868315,0.0,0
203,Home of Franklin D. Roosevelt NHS,34.52964327,-93.06967602,0.0,20171129
204,Homestead NHP,40.28697334051471,-96.8327362335534,0.0,0
205,Honouliuli NHS,21.390279031707244,-158.05810964850176,0.0,0
206,Hopewell Culture NHP,41.08848622,-73.96822611,0.0,20160919
207,Hopewell Fernace NHS,39.9500689,-75.1497751,0.0,20160716
208,Horseshoe Bend NMP,41.66512152,-81.35087872,0.0,20170414
209,Hot Springs NP,29.81100398,-90.13370649,0.0,20171202
210,Hovenweep NM,37.38406467571455,-109.0726142765121,0.0,0
211,Hubbell Trading Post NHS,35.70964789371538,-109.55845198136298,0.0,0
212,Hudson River Valley NHA,32.03660726,-84.3926015,0.0,20160131
213,Ice Age NST,44.27889547129056,-89.23800226102513,0.0,0
214,Independence NHP,44.08299721,-110.6814414,0.0,20150524
215,Indiana Dunes NP,41.65828365320674,-87.05173213545861,0.0,0
216,Isle Royale NP,48.01998232693837,-88.92532268983268,0.0,0
217,James A. GarField NHS,44.63497624,-120.2390721,0.0,20210715
218,Jean Lafitte NHP and Pres,42.34762959,-71.12352486,0.0,20150610
219,Jefferson Memorial,38.881721948686064,-77.0365911904093,0.0,0
220,Jewel Cave NM,43.73143282159258,-103.8298744839508,0.0,0
221,Jimmy Carter NHP,37.99247502,-122.1310265,0.0,20190706
222,John D. RockeFeller Jr Memorial Parkway,40.34994002,-78.7712865,0.0,20160619
223,John Day Fossil Beds NM,33.95565355,-115.9400861,0.0,20160510
224,John F. Kennedy NHS,32.4769085,-111.3030868,0.0,20160509
225,John Muir NHS,33.95773667,-84.59646838,0.0,20151004
226,Johnstown Flood NMem,35.13909987,-81.39102911,0.0,20150618
227,Joshua Tree NP,47.59987796,-122.3317424,0.0,20210723
228,Juan Bautista de Anza NHT,38.88817132,-77.04767358,0.0,20151226
229,Kalaupapa NHP,21.193378009609937,-156.96663569830332,0.0,0
230,Kaloko-Honokohau NHP,19.67825897519251,-156.02163653630075,0.0,0
231,Katahdin Woods and Waters NM,45.957323311485936,-68.71228711465142,0.0,0
232,Katmai NP Npres,58.60538199068286,-154.95996264582317,0.0,0
233,Kenai Fjords NP,59.92939159731911,-150.1625651423825,0.0,0
234,Kennesaw Mountain NBP,48.35709953,-120.6846527,0.0,20210711
235,Keweenaw NHP,47.2425634651683,-88.44820924424964,0.0,0
236,Kings Canyon NP,36.90569694354536,-118.55513341327976,0.0,0
237,Kings Mountain NMP,35.64445963,-101.5862452,0.0,20171222
238,Klondike Gold Rush NHP,48.13593896,-118.2465262,0.0,20210725
239,Knife River Indian Villages NHS,47.331976980987655,-101.38582127874557,0.0,0
240,Kobuk Valley NP,67.50787793168357,-159.2262922854816,0.0,0
241,Korean War Veterans Memorial,40.50919326,-121.4158473,0.0,20190704
242,Lake Chelan NRA,41.77566751,-121.5067521,0.0,20190703
243,Lake Clark NP NPres,60.63425499319311,-153.30417522882277,0.0,0
244,Lake Mead NRA,36.155341956641,-114.45586868146567,0.0,0
245,Lake Meredith NRA,38.87948723,-77.05111973,0.0,20151228
246,Lake Roosevelt NRA,46.13536601,-123.8805495,0.0,20210717
247,Lassen Volcanic NP,41.28085976,-95.92442836,0.0,20181009
248,Lava Beds NM,38.11364564,-86.99589503,0.0,20160811
249,Lewis and Clark NHP,45.57090421,-107.4276034,0.0,20181119
250,Lewis and Clark NHT,34.38725873,-85.69729294,0.0,20151003
251,Lincoln Boyhood NMem,34.73844651,-92.29758824,0.0,20171129
252,Lincoln Home NHS,39.79736602623226,-89.64489943323709,0.0,0
253,Lincoln Memorial,42.37719454,-71.12633732,0.0,20150611
254,Little Bighorn Battlefield NM,42.64504269,-71.31323569,0.0,20160927
255,Little River Canyon NPres,30.24286278,-98.60848806,0.0,20171207
256,Little Rock Central High School NHS,37.54822825,-77.43715868,0.0,20151229
257,Longfellow House-Washington's Headquarters NHS,37.20465274,-86.11450754,0.0,20160812
258,Lowell NHP,38.81767645,-77.53525707,0.0,20151010
259,Lyndon B. Johnson NHP,36.03062026,-84.2704045,0.0,20160809
