name,name,latitude,longitude,values,date
Obed Wild and Scenic River,Obed Wild And Scenic River,47.86956237,-123.6034819,0.5,July 22 2021
Ocmulgee Mounds National Historical Park,Ocmulgee NHP,42.098806,-123.4069899,0.5,Jul 1 2019
,Oklahoma City NMem,42.59952628,-110.8835794,0.5,May 25 2015
,Old Post Offce Tower,35.14290598,-81.34477248,0.5,Jun 18 2015
Olympic National Park,Olympic NP,40.75480321,-121.385906,0.5,Jul 11 2021
Oregon Caves National Monument and Preserve,Oregon Caves NM,27.08959103,-97.38420415,0.5,Dec 8 2017
Organ Pipe Cactus National Monument,Organ Pipe Cactus NM,,,,
Ozark National Scenic Riverways,Ozark NSR,,,,
,Oregon NHT,38.05559192,-122.8874183,0.5,Jun 29 2019
,Overmountain Victory NHT,26.01779779,-97.4791016,0.5,Dec 10 2017
,Pacific Crest NST,40.91550728,-74.17981886,0.5,Jul 12 2016
Padre Island National Seashore,Padre Island NS,36.44374606,-94.02666324,0.5,Nov 28 2017
Palo Alto Battlefield National Historical Park,Palo Alto Battlefield NHP,38.89413833,-77.02521644,0.5,Dec 26 2015
Paterson Great Falls National Historical Park,Paterson Great Falls NHP,37.22952543,-77.36640826,0.5,Oct 11 2015
Pea Ridge National Military Park,Pea Ridge NMP,38.89745433,-77.02661384,0.5,Dec 26 2015
