submap,latitude,longitude,label_latitude,label_longitude,date,name
CO,38.914317,-105.285489,38.914317,-105.285489,20181015,Florissant Fossil Beds NM
DC,38.911254,-77.0242380,29.337620,-67.7271400,20151226,Carter G Woodson NHS
DC,38.908568,-77.0306190,29.257040,-67.9185700,20151226,Mary McLeod Bethune Council House NHS
UT,38.901236,-109.599515,38.901236,-109.599515,20150526,Arches NP
DC,38.899211,-77.0349810,30.737701,-67.3066580,20151226,Pennsylvania Avenue NHS
DC,38.897955,-77.0366550,29.844520,-67.1548250,20151226,The White House - President's Park
DC,38.897198,-77.0265730,29.311014,-64.6460360,20151226,Peterson House NHS
DC,38.896874,-77.0329210,30.222640,-67.0867790,20151226,World War 1 Mem
DC,38.896754,-77.0623170,28.902620,-68.8695100,20151228,Theodore Roosevelt Island Park
DC,38.895060,-77.0273030,28.937360,-65.2690280,20151226,Old Post Offce Tower Mem
DC,38.893950,-77.0039020,28.818500,-67.1170600,20160716,Belmont-Paul Women's Equality NM
DC,38.892081,-77.0445170,29.268984,-70.4806300,20151226,Constitution Gardens Park
DC,38.891956,-77.0477460,28.921293,-72.3027180,20151226,Vietnam Veterans Mem
DC,38.890402,-77.0351250,28.259189,-62.5971780,20151226,National Mall Park
DC,38.890230,-77.0353350,27.806682,-65.4653020,20151226,Washington Monument Park
DC,38.889641,-77.0501020,28.482586,-70.6538590,20151226,Lincoln Mem
DC,38.889498,-77.0405500,28.684940,-68.2165000,20151226,World War II Mem
DC,38.888597,-77.0477100,28.030774,-69.4033900,20151226,Korean War Veterans Mem
DC,38.888101,-77.0188740,28.643030,-67.5662200,20151226,Dwight D Eisenhower Mem
DC,38.887151,-77.0445460,28.614530,-68.3363800,20151226,Martin Luther King Jr. Mem
DC,38.883993,-77.0428410,28.519790,-68.2852300,20151226,Franklin Delano Roosevelt Memorial
VA,38.882517,-77.0727880,38.882517,-77.0727880,20151228,Arlington House Mem
DC,38.881722,-77.0365910,28.451660,-68.0977300,20151226,Jefferson Mem
DC,38.880641,-77.0513670,28.419230,-68.5410100,20151228,LBJ Memorial Grove on the Potomac Park
DC,38.868279,-76.9953500,27.455759,-64.8572660,20151229,Anacostia Park
DC,38.866320,-76.9939170,27.051300,-64.7242430,20151226,National Capital Parks-East Park
DC,38.863635,-76.9852410,27.909050,-66.5572300,20151229,Frederick Douglass NHS
DC,38.844223,-77.0492380,27.326690,-68.4771400,20151228,George Washington Mem. PKWY
VA,38.817315,-77.5353070,38.817315,-77.5353070,20151010,Manassas NBP
DC,38.768797,-77.0255370,24.854214,-68.6943860,20151226,Ford's Theatre NHS
DC,38.767843,-77.0249680,25.244986,-66.0779920,20151010,Fort Foote Park
MD,38.712011,-77.0287480,38.020632,-75.5432040,20151010,Fort Washington Park
MD,38.687899,-77.0499370,37.617907,-76.8473630,20151010,Piscataway Park
IN,38.678979,-87.5367160,38.678979,-87.5367160,20160811,George Rogers Clark NHP
UT,38.625504,-90.1860890,38.625504,-90.1860890,,Gateway Arch NP
CO,38.621465,-107.743005,38.621465,-107.743005,,Black Canyon of the Gunnison NP
VA,38.585816,-77.3842780,38.585816,-77.3842780,20151009,Prince William Forest Park
